Date : 2025-09-12 11:47:33
Directory : /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src
Total : 65 files,  5414 codes, 500 comments, 606 blanks, all 6520 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JavaScript JSX |         59 |      5,367 |        424 |        598 |      6,389 |
| PostCSS        |          4 |         43 |         75 |          8 |        126 |
| Ignore         |          1 |          3 |          1 |          0 |          4 |
| XML            |          1 |          1 |          0 |          0 |          1 |
+----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                   |         65 |      5,414 |        500 |        606 |      6,520 |
| . (Files)                                                                                                           |          5 |         74 |         82 |         14 |        170 |
| assets                                                                                                              |          1 |          1 |          0 |          0 |          1 |
| authentication                                                                                                      |          2 |         97 |         24 |         17 |        138 |
| components                                                                                                          |         48 |      4,631 |        328 |        495 |      5,454 |
| components/AccessCode                                                                                               |          1 |        125 |         10 |         17 |        152 |
| components/AdminSupervisor                                                                                          |         13 |      1,199 |         70 |        127 |      1,396 |
| components/ApiFetch                                                                                                 |          2 |        107 |          5 |         13 |        125 |
| components/ApiFetch/TeamAPI                                                                                         |          2 |        107 |          5 |         13 |        125 |
| components/Breadcrumb                                                                                               |          1 |         62 |         12 |          9 |         83 |
| components/Dashboard                                                                                                |          1 |         35 |          2 |          4 |         41 |
| components/DashboardMain                                                                                            |          1 |        177 |          0 |         11 |        188 |
| components/File                                                                                                     |          1 |        119 |          9 |         18 |        146 |
| components/FileUpload                                                                                               |          1 |        390 |         18 |         37 |        445 |
| components/Footer                                                                                                   |          1 |         56 |          3 |          6 |         65 |
| components/Header                                                                                                   |          3 |        106 |         12 |         13 |        131 |
| components/Header2                                                                                                  |          1 |         60 |         17 |         12 |         89 |
| components/Header3                                                                                                  |          1 |         49 |         17 |         12 |         78 |
| components/Input                                                                                                    |          1 |         32 |          1 |          5 |         38 |
| components/Landing                                                                                                  |          1 |        272 |          1 |         14 |        287 |
| components/Loading                                                                                                  |          1 |          8 |          9 |          3 |         20 |
| components/Modal                                                                                                    |          2 |        178 |          1 |          7 |        186 |
| components/Modification                                                                                             |          1 |        115 |          6 |         14 |        135 |
| components/Pagination                                                                                               |          1 |         43 |          0 |          3 |         46 |
| components/RemoveYourself                                                                                           |          1 |         36 |          0 |          5 |         41 |
| components/RightBar                                                                                                 |          1 |         99 |         18 |         11 |        128 |
| components/SelectInputs                                                                                             |          1 |         50 |          7 |          5 |         62 |
| components/Sidebar                                                                                                  |          1 |         83 |         10 |         12 |        105 |
| components/SpaceBetweenFields                                                                                       |          1 |          8 |          0 |          4 |         12 |
| components/Team                                                                                                     |          4 |        955 |         56 |         97 |      1,108 |
| components/TestComp                                                                                                 |          1 |          0 |         18 |          4 |         22 |
| components/UsersList                                                                                                |          1 |        122 |         18 |         17 |        157 |
| components/UtilsErrorRendering                                                                                      |          2 |         51 |          5 |          7 |         63 |
| components/Workspace                                                                                                |          1 |         94 |          3 |          8 |        105 |
| pages                                                                                                               |          7 |        371 |         38 |         47 |        456 |
| routes                                                                                                              |          2 |        240 |         28 |         33 |        301 |
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                            | language       | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/.dockerignore                                        | Ignore         |          3 |          1 |          0 |          4 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/App.css                                              | PostCSS        |         40 |          2 |          6 |         48 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/App.jsx                                              | JavaScript JSX |         19 |          9 |          5 |         33 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/assets/react.svg                                     | XML            |          1 |          0 |          0 |          1 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/authentication/authProvider.jsx                      | JavaScript JSX |         44 |         23 |          9 |         76 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/authentication/useLogin.jsx                          | JavaScript JSX |         53 |          1 |          8 |         62 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/AccessCode/AccessCodeList.jsx             | JavaScript JSX |        125 |         10 |         17 |        152 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/AdminSupervisor/AdminAC.jsx               | JavaScript JSX |         17 |          1 |          3 |         21 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/AdminSupervisor/AdminAccCodeDel.jsx       | JavaScript JSX |         40 |          1 |          5 |         46 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/AdminSupervisor/AdminFileDelete.jsx       | JavaScript JSX |         41 |          1 |          4 |         46 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/AdminSupervisor/AdminFileList.jsx         | JavaScript JSX |         12 |          0 |          3 |         15 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/AdminSupervisor/AdminModelCard.jsx        | JavaScript JSX |         36 |         24 |          8 |         68 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/AdminSupervisor/AdminModification.jsx     | JavaScript JSX |         11 |          1 |          2 |         14 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/AdminSupervisor/AdminPanel.jsx            | JavaScript JSX |         53 |          1 |          7 |         61 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/AdminSupervisor/AdminTeam.jsx             | JavaScript JSX |         16 |          1 |          3 |         20 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/AdminSupervisor/AdminTeamDelete.jsx       | JavaScript JSX |         40 |          1 |          4 |         45 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/AdminSupervisor/AdminUser.jsx             | JavaScript JSX |         11 |          0 |          5 |         16 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/AdminSupervisor/AdminUserDelete.jsx       | JavaScript JSX |         54 |          1 |          4 |         59 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/AdminSupervisor/CreateAccCode.jsx         | JavaScript JSX |        328 |         15 |         38 |        381 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/AdminSupervisor/CreateTeam.jsx            | JavaScript JSX |        540 |         23 |         41 |        604 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/ApiFetch/TeamAPI/TeamPostApi.jsx          | JavaScript JSX |         99 |          5 |          9 |        113 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/ApiFetch/TeamAPI/TeamgetApi.jsx           | JavaScript JSX |          8 |          0 |          4 |         12 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/Breadcrumb/Breadcrumb.jsx                 | JavaScript JSX |         62 |         12 |          9 |         83 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/Dashboard/FtsDashboard.jsx                | JavaScript JSX |         35 |          2 |          4 |         41 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/DashboardMain/DashboardMain.jsx           | JavaScript JSX |        177 |          0 |         11 |        188 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/File/FileList.jsx                         | JavaScript JSX |        119 |          9 |         18 |        146 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/FileUpload/FileUpload.jsx                 | JavaScript JSX |        390 |         18 |         37 |        445 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/Footer/Footer.jsx                         | JavaScript JSX |         56 |          3 |          6 |         65 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/Header/Header.jsx                         | JavaScript JSX |         39 |          0 |          5 |         44 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/Header/HeaderLanding.jsx                  | JavaScript JSX |         67 |          9 |          8 |         84 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/Header/header.css                         | PostCSS        |          0 |          3 |          0 |          3 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/Header2/Header2.jsx                       | JavaScript JSX |         60 |         17 |         12 |         89 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/Header3/Header3.jsx                       | JavaScript JSX |         49 |         17 |         12 |         78 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/Input/InputNoRequire.jsx                  | JavaScript JSX |         32 |          1 |          5 |         38 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/Landing/Landing.jsx                       | JavaScript JSX |        272 |          1 |         14 |        287 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/Loading/Loading.jsx                       | JavaScript JSX |          8 |          9 |          3 |         20 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/Modal/ModalDeleteTeam.jsx                 | JavaScript JSX |         87 |          0 |          4 |         91 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/Modal/ModalSearch.jsx                     | JavaScript JSX |         91 |          1 |          3 |         95 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/Modification/Modification.jsx             | JavaScript JSX |        115 |          6 |         14 |        135 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/Pagination/PaginationSticker.jsx          | JavaScript JSX |         43 |          0 |          3 |         46 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/RemoveYourself/RemoveYourself.jsx         | JavaScript JSX |         36 |          0 |          5 |         41 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/RightBar/Rightbar.jsx                     | JavaScript JSX |         99 |         18 |         11 |        128 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/SelectInputs/SelectInput.jsx              | JavaScript JSX |         50 |          7 |          5 |         62 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/Sidebar/Sidebar.jsx                       | JavaScript JSX |         83 |         10 |         12 |        105 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/SpaceBetweenFields/Space2.jsx             | JavaScript JSX |          8 |          0 |          4 |         12 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/Team/CreateTeamNonSup.jsx                 | JavaScript JSX |        413 |         20 |         34 |        467 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/Team/DeleteSelfMembership.jsx             | JavaScript JSX |         53 |          0 |          8 |         61 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/Team/Team.jsx                             | JavaScript JSX |        138 |          9 |         17 |        164 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/Team/TeamView.jsx                         | JavaScript JSX |        351 |         27 |         38 |        416 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/TestComp/Test.jsx                         | JavaScript JSX |          0 |         18 |          4 |         22 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/UsersList/UserList.jsx                    | JavaScript JSX |        122 |         18 |         17 |        157 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/UtilsErrorRendering/BelongsToTeam.jsx     | JavaScript JSX |         17 |          0 |          4 |         21 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/UtilsErrorRendering/ErrorRenderHandle.jsx | JavaScript JSX |         34 |          5 |          3 |         42 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/Workspace/Workspace.jsx                   | JavaScript JSX |         94 |          3 |          8 |        105 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/index.css                                            | PostCSS        |          3 |         70 |          1 |         74 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/main.jsx                                             | JavaScript JSX |          9 |          0 |          2 |         11 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/pages/AuthBanner.jsx                                 | JavaScript JSX |          9 |          0 |          1 |         10 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/pages/AuthButton.jsx                                 | JavaScript JSX |         14 |          0 |          1 |         15 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/pages/InputLabel.jsx                                 | JavaScript JSX |         33 |          1 |          5 |         39 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/pages/Login.jsx                                      | JavaScript JSX |        134 |         21 |         16 |        171 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/pages/Login.module.css                               | PostCSS        |          0 |          0 |          1 |          1 |
| /home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/pages/Logout.jsx                                     | JavaScript JSX |         52 |          8 |          5 |         65 |
