"filename", "language", "JavaScript JSX", "PostCSS", "comment", "blank", "total"
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/AccessCode/AccessCodeList.jsx", "JavaScript JSX", 125, 0, 10, 17, 152
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/AdminSupervisor/AdminAC.jsx", "JavaScript JSX", 17, 0, 1, 3, 21
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/AdminSupervisor/AdminAccCodeDel.jsx", "JavaScript JSX", 40, 0, 1, 5, 46
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/AdminSupervisor/AdminFileDelete.jsx", "JavaScript JSX", 41, 0, 1, 4, 46
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/AdminSupervisor/AdminFileList.jsx", "JavaScript JSX", 12, 0, 0, 3, 15
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/AdminSupervisor/AdminModelCard.jsx", "JavaScript JSX", 36, 0, 24, 8, 68
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/AdminSupervisor/AdminModification.jsx", "JavaScript JSX", 11, 0, 1, 2, 14
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/AdminSupervisor/AdminPanel.jsx", "JavaScript JSX", 53, 0, 1, 7, 61
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/AdminSupervisor/AdminTeam.jsx", "JavaScript JSX", 16, 0, 1, 3, 20
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/AdminSupervisor/AdminTeamDelete.jsx", "JavaScript JSX", 40, 0, 1, 4, 45
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/AdminSupervisor/AdminUser.jsx", "JavaScript JSX", 11, 0, 0, 5, 16
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/AdminSupervisor/AdminUserDelete.jsx", "JavaScript JSX", 54, 0, 1, 4, 59
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/AdminSupervisor/CreateAccCode.jsx", "JavaScript JSX", 328, 0, 15, 38, 381
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/AdminSupervisor/CreateTeam.jsx", "JavaScript JSX", 540, 0, 23, 41, 604
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/ApiFetch/TeamAPI/TeamPostApi.jsx", "JavaScript JSX", 99, 0, 5, 9, 113
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/ApiFetch/TeamAPI/TeamgetApi.jsx", "JavaScript JSX", 8, 0, 0, 4, 12
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/Breadcrumb/Breadcrumb.jsx", "JavaScript JSX", 62, 0, 12, 9, 83
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/Dashboard/FtsDashboard.jsx", "JavaScript JSX", 35, 0, 2, 4, 41
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/DashboardMain/DashboardMain.jsx", "JavaScript JSX", 177, 0, 0, 11, 188
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/File/FileList.jsx", "JavaScript JSX", 119, 0, 9, 18, 146
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/FileUpload/FileUpload.jsx", "JavaScript JSX", 390, 0, 18, 37, 445
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/Footer/Footer.jsx", "JavaScript JSX", 56, 0, 3, 6, 65
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/Header/Header.jsx", "JavaScript JSX", 39, 0, 0, 5, 44
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/Header/HeaderLanding.jsx", "JavaScript JSX", 67, 0, 9, 8, 84
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/Header/header.css", "PostCSS", 0, 0, 3, 0, 3
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/Header2/Header2.jsx", "JavaScript JSX", 60, 0, 17, 12, 89
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/Header3/Header3.jsx", "JavaScript JSX", 49, 0, 17, 12, 78
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/Input/InputNoRequire.jsx", "JavaScript JSX", 32, 0, 1, 5, 38
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/Landing/Landing.jsx", "JavaScript JSX", 272, 0, 1, 14, 287
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/Loading/Loading.jsx", "JavaScript JSX", 8, 0, 9, 3, 20
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/Modal/ModalDeleteTeam.jsx", "JavaScript JSX", 87, 0, 0, 4, 91
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/Modal/ModalSearch.jsx", "JavaScript JSX", 91, 0, 1, 3, 95
